GEOID,NAME,variable,estimate,moe
31001,"Adams County, Nebraska",population,31583,NA
31003,"Antelope County, Nebraska",population,6372,NA
31005,"Arthur County, Nebraska",population,418,46
31007,"Banner County, Nebraska",population,696,72
31009,"Blaine County, Nebraska",population,480,55
31011,"Boone County, Nebraska",population,5313,NA
31013,"Box Butte County, Nebraska",population,11089,NA
31015,"Boyd County, Nebraska",population,2042,90
31017,"Brown County, Nebraska",population,2988,104
31019,"Buffalo County, Nebraska",population,49030,NA
31021,"Burt County, Nebraska",population,6528,NA
31023,"Butler County, Nebraska",population,8067,NA
31025,"Cass County, Nebraska",population,25702,NA
31027,"Cedar County, Nebraska",population,8523,NA
31029,"Chase County, Nebraska",population,3734,214
31031,"Cherry County, Nebraska",population,5790,NA
31033,"Cheyenne County, Nebraska",population,9852,NA
31035,"Clay County, Nebraska",population,6232,NA
31037,"Colfax County, Nebraska",population,10760,NA
31039,"Cuming County, Nebraska",population,8991,NA
31041,"Custer County, Nebraska",population,10830,NA
31043,"Dakota County, Nebraska",population,20317,NA
31045,"Dawes County, Nebraska",population,8896,NA
31047,"Dawson County, Nebraska",population,23804,NA
31049,"Deuel County, Nebraska",population,1894,120
31051,"Dixon County, Nebraska",population,5746,NA
31053,"Dodge County, Nebraska",population,36683,NA
31055,"Douglas County, Nebraska",population,554992,NA
31057,"Dundy County, Nebraska",population,2023,214
31059,"Fillmore County, Nebraska",population,5574,NA
31061,"Franklin County, Nebraska",population,3006,NA
31063,"Frontier County, Nebraska",population,2609,74
31065,"Furnas County, Nebraska",population,4786,NA
31067,"Gage County, Nebraska",population,21595,NA
31069,"Garden County, Nebraska",population,1860,117
31071,"Garfield County, Nebraska",population,1975,102
31073,"Gosper County, Nebraska",population,2015,NA
31075,"Grant County, Nebraska",population,718,63
31077,"Greeley County, Nebraska",population,2410,NA
31079,"Hall County, Nebraska",population,61343,NA
31081,"Hamilton County, Nebraska",population,9178,NA
31083,"Harlan County, Nebraska",population,3438,NA
31085,"Hayes County, Nebraska",population,943,74
31087,"Hitchcock County, Nebraska",population,2843,NA
31089,"Holt County, Nebraska",population,10245,NA
31091,"Hooker County, Nebraska",population,691,82
31093,"Howard County, Nebraska",population,6405,NA
31095,"Jefferson County, Nebraska",population,7188,NA
31097,"Johnson County, Nebraska",population,5197,NA
31099,"Kearney County, Nebraska",population,6552,NA
31101,"Keith County, Nebraska",population,8099,NA
31103,"Keya Paha County, Nebraska",population,792,104
31105,"Kimball County, Nebraska",population,3667,NA
31107,"Knox County, Nebraska",population,8460,NA
31109,"Lancaster County, Nebraska",population,310094,NA
31111,"Lincoln County, Nebraska",population,35433,NA
31113,"Logan County, Nebraska",population,886,75
31115,"Loup County, Nebraska",population,585,61
31117,"McPherson County, Nebraska",population,454,89
31119,"Madison County, Nebraska",population,35164,NA
31121,"Merrick County, Nebraska",population,7803,NA
31123,"Morrill County, Nebraska",population,4841,NA
31125,"Nance County, Nebraska",population,3554,NA
31127,"Nemaha County, Nebraska",population,7004,NA
31129,"Nuckolls County, Nebraska",population,4275,NA
31131,"Otoe County, Nebraska",population,15896,NA
31133,"Pawnee County, Nebraska",population,2676,NA
31135,"Perkins County, Nebraska",population,2907,NA
31137,"Phelps County, Nebraska",population,9120,NA
31139,"Pierce County, Nebraska",population,7157,NA
31141,"Platte County, Nebraska",population,33063,NA
31143,"Polk County, Nebraska",population,5255,NA
31145,"Red Willow County, Nebraska",population,10806,NA
31147,"Richardson County, Nebraska",population,8009,NA
31149,"Rock County, Nebraska",population,1350,90
31151,"Saline County, Nebraska",population,14288,NA
31153,"Sarpy County, Nebraska",population,178351,NA
31155,"Saunders County, Nebraska",population,21024,NA
31157,"Scotts Bluff County, Nebraska",population,36255,NA
31159,"Seward County, Nebraska",population,17127,NA
31161,"Sheridan County, Nebraska",population,5234,NA
31163,"Sherman County, Nebraska",population,3042,NA
31165,"Sioux County, Nebraska",population,1266,72
31167,"Stanton County, Nebraska",population,5992,NA
31169,"Thayer County, Nebraska",population,5098,NA
31171,"Thomas County, Nebraska",population,645,72
31173,"Thurston County, Nebraska",population,7140,NA
31175,"Valley County, Nebraska",population,4224,61
31177,"Washington County, Nebraska",population,20219,NA
31179,"Wayne County, Nebraska",population,9367,NA
31181,"Webster County, Nebraska",population,3571,NA
31183,"Wheeler County, Nebraska",population,822,102
31185,"York County, Nebraska",population,13799,NA
