date,location,new_cases,new_deaths,total_cases,total_deaths
2020-01-23,United States,NA,NA,1,NA
2020-01-24,United States,0,NA,1,NA
2020-01-25,United States,1,NA,2,NA
2020-01-26,United States,0,NA,2,NA
2020-01-27,United States,3,NA,5,NA
2020-01-28,United States,0,NA,5,NA
2020-01-29,United States,0,NA,5,NA
2020-01-30,United States,0,NA,5,NA
2020-01-31,United States,1,NA,6,NA
2020-02-01,United States,1,NA,7,NA
2020-02-02,United States,1,NA,8,NA
2020-02-03,United States,3,NA,11,NA
2020-02-04,United States,0,NA,11,NA
2020-02-05,United States,0,NA,11,NA
2020-02-06,United States,1,NA,12,NA
2020-02-07,United States,0,NA,12,NA
2020-02-08,United States,0,NA,12,NA
2020-02-09,United States,0,NA,12,NA
2020-02-10,United States,0,NA,12,NA
2020-02-11,United States,1,NA,13,NA
2020-02-12,United States,0,NA,13,NA
2020-02-13,United States,1,NA,14,NA
2020-02-14,United States,1,NA,15,NA
2020-02-15,United States,0,NA,15,NA
2020-02-16,United States,0,NA,15,NA
2020-02-17,United States,0,NA,15,NA
2020-02-18,United States,0,NA,15,NA
2020-02-19,United States,0,NA,15,NA
2020-02-20,United States,0,NA,15,NA
2020-02-21,United States,0,NA,15,NA
2020-02-22,United States,20,NA,35,NA
2020-02-23,United States,0,NA,35,NA
2020-02-24,United States,0,NA,35,NA
2020-02-25,United States,18,NA,53,NA
2020-02-26,United States,0,NA,53,NA
2020-02-27,United States,6,NA,59,NA
2020-02-28,United States,0,NA,59,NA
2020-02-29,United States,3,NA,62,NA
2020-03-01,United States,0,NA,62,NA
2020-03-02,United States,0,NA,62,NA
2020-03-03,United States,2,NA,64,2
2020-03-04,United States,44,4,108,6
2020-03-05,United States,21,3,129,9
2020-03-06,United States,19,1,148,10
2020-03-07,United States,65,1,213,11
2020-03-08,United States,0,0,213,11
2020-03-09,United States,0,0,213,11
2020-03-10,United States,259,8,472,19
2020-03-11,United States,224,6,696,25
2020-03-12,United States,291,4,987,29
2020-03-13,United States,277,7,1264,36
2020-03-14,United States,414,5,1678,41
